POSCAR-mp-10.vasp,0.107405
POSCAR-mp-100.vasp,0.181111
POSCAR-mp-1000.vasp,-1.790168
POSCAR-mp-10000.vasp,-1.253224
POSCAR-mp-10003.vasp,-0.343178
POSCAR-mp-10004.vasp,-0.339342
POSCAR-mp-10006.vasp,-0.041182
POSCAR-mp-10008.vasp,0.007953
POSCAR-mp-10009.vasp,-0.360763
POSCAR-mp-1001.vasp,-0.764811
POSCAR-mp-10010.vasp,-0.536844
POSCAR-mp-1001011.vasp,-2.801835
POSCAR-mp-1001012.vasp,-1.969811
POSCAR-mp-1001015.vasp,-2.049302
POSCAR-mp-1001016.vasp,-1.404481
POSCAR-mp-1001017.vasp,-0.543223
POSCAR-mp-1001019.vasp,-1.575443
POSCAR-mp-1001021.vasp,-1.512731
POSCAR-mp-1001022.vasp,-0.276703
POSCAR-mp-1001023.vasp,0.850889
POSCAR-mp-1001024.vasp,-2.270729
POSCAR-mp-1001034.vasp,-0.714347
POSCAR-mp-1001069.vasp,-1.250031
POSCAR-mp-1001079.vasp,-0.008439
POSCAR-mp-1001080.vasp,-1.583295
POSCAR-mp-1001082.vasp,-0.478947
POSCAR-mp-1001112.vasp,-1.290673
POSCAR-mp-1001113.vasp,0.476623
POSCAR-mp-1001117.vasp,-0.246929
POSCAR-mp-10013.vasp,-0.495293
POSCAR-mp-10014.vasp,-1.492195
POSCAR-mp-10015.vasp,-0.337685
POSCAR-mp-1001571.vasp,-2.285060
POSCAR-mp-1001581.vasp,-0.008316
POSCAR-mp-1001594.vasp,-0.909373
POSCAR-mp-1001600.vasp,-0.192893
POSCAR-mp-1001602.vasp,0.210621
POSCAR-mp-1001603.vasp,-0.343113
POSCAR-mp-1001604.vasp,-1.811157
POSCAR-mp-1001605.vasp,-0.775402
POSCAR-mp-1001606.vasp,-0.287539
POSCAR-mp-1001611.vasp,-1.356906
POSCAR-mp-1001612.vasp,-0.795283
POSCAR-mp-1001613.vasp,-0.603875
POSCAR-mp-1001614.vasp,-0.361003
POSCAR-mp-1001615.vasp,-1.360044
POSCAR-mp-1001780.vasp,-1.703901
POSCAR-mp-1001783.vasp,-1.047275
POSCAR-mp-1001784.vasp,-1.744052
POSCAR-mp-1001785.vasp,0.023091
POSCAR-mp-1001786.vasp,-2.106938
POSCAR-mp-1001787.vasp,-0.132499
POSCAR-mp-1001788.vasp,-0.017527
POSCAR-mp-1001789.vasp,0.543162
POSCAR-mp-1001790.vasp,-0.626899
POSCAR-mp-1001793.vasp,-1.400947
POSCAR-mp-1001824.vasp,1.438489
POSCAR-mp-1001825.vasp,0.163696
POSCAR-mp-1001826.vasp,-1.023842
POSCAR-mp-1001827.vasp,1.229079
POSCAR-mp-1001828.vasp,0.010154
POSCAR-mp-1001831.vasp,0.196470
POSCAR-mp-1001833.vasp,0.015227
POSCAR-mp-1001834.vasp,-0.957198
POSCAR-mp-1001835.vasp,-0.177758
POSCAR-mp-1001836.vasp,-0.129440
POSCAR-mp-1001837.vasp,0.243161
POSCAR-mp-1001843.vasp,-1.069582
POSCAR-mp-1001844.vasp,-0.996304
POSCAR-mp-1001913.vasp,-0.567355
POSCAR-mp-1001914.vasp,-0.236223
POSCAR-mp-1001916.vasp,-1.670382
POSCAR-mp-1001917.vasp,-1.039303
POSCAR-mp-1001918.vasp,0.398003
POSCAR-mp-1001925.vasp,0.570496
